Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-34050,34050,34050,5.93,0.15,9.8186,255.6902,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.87,0.15,9.8225,255.6992,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.08,0.15,9.8272,255.7108,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.34,0.15,9.8334,255.7125,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.34,0.15,9.8661,255.729,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.4,0.17,9.5144,255.7535,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.21,0.17,9.5226,255.7724,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.27,0.17,9.5308,255.7524,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.26,0.17,9.7708,255.7225,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.27,0.17,9.8163,255.6917,Volcanic,,,,,,,,,,,,
-34050,34050,34050,6.57,0.17,9.8179,255.6871,Volcanic,,,,,,,,,,,,
-34050,34050,34050,12.92,0.17,9.8753,255.7302,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.51,0.17,9.8823,255.7017,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.14,0.2,9.2786,255.7742,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.78,0.2,9.5293,255.7717,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.16,0.2,9.7719,255.7232,Volcanic,,,,,,,,,,,,
-34050,34050,34050,6,0.2,9.8165,255.6905,Volcanic,,,,,,,,,,,,
-34050,34050,34050,12.2,0.2,9.8409,255.7227,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.75,0.2,9.8877,255.7025,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.92,0.22,9.2801,255.7812,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.14,0.22,9.5125,255.7562,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.5,0.22,9.5148,255.7559,Volcanic,,,,,,,,,,,,
-34050,34050,34050,4.35,0.22,9.5261,255.7292,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.37,0.22,9.8168,255.6902,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.52,0.22,9.8295,255.7105,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.69,0.22,9.8498,255.6749,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.12,0.25,9.5581,255.7515,Volcanic,,,,,,,,,,,,
-34050,34050,34050,12.57,0.25,9.8435,255.7257,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.02,0.27,9.514,255.734,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.89,0.27,9.5583,255.752,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.74,0.27,9.6452,255.7424,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.44,0.27,9.6458,255.7396,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.68,0.27,9.648,255.741,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.37,0.27,9.652,255.7395,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.92,0.27,9.7717,255.7226,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.66,0.27,9.7909,255.7167,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.58,0.27,9.8343,255.7237,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.36,0.27,9.8364,255.7236,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.03,0.27,9.8417,255.7235,Volcanic,,,,,,,,,,,,
-34050,34050,34050,4.69,0.27,9.8419,255.6828,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.99,0.3,9.5144,255.7535,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.62,0.3,9.5176,255.7549,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.13,0.3,9.8232,255.712,Volcanic,,,,,,,,,,,,
-34050,34050,34050,3.92,0.3,9.8505,255.6825,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.19,0.32,9.5294,255.7399,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.42,0.32,9.5307,255.7512,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.49,0.32,9.8167,255.6938,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.98,0.32,9.8335,255.7256,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.27,0.32,9.8337,255.7234,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.38,0.32,9.8356,255.7094,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.75,0.32,9.8879,255.7022,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.27,0.35,9.5125,255.756,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.01,0.35,9.5305,255.7704,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.56,0.35,9.8925,255.7018,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.14,0.37,9.5145,255.7567,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.49,0.37,9.5293,255.7417,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.58,0.37,9.5297,255.7433,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.89,0.37,9.5302,255.7455,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.93,0.37,9.5627,255.7506,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9,0.37,9.8303,255.7109,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.93,0.37,9.839,255.71,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.76,0.4,9.5587,255.7522,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.89,0.4,9.6083,255.7456,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.24,0.4,9.7747,255.7202,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.54,0.4,9.8164,255.6997,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.32,0.4,9.8319,255.7099,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.75,0.42,9.8361,255.7233,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.1,0.42,9.8423,255.7079,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.7,0.42,9.8669,255.7255,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.3,0.45,9.8487,255.7063,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.41,0.45,9.898,255.7009,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.99,0.47,9.5157,255.747,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.33,0.47,9.816,255.712,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.48,0.47,9.8165,255.7115,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.37,0.47,9.8334,255.7273,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.79,0.47,9.839,255.7086,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.46,0.5,9.5573,255.751,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.84,0.5,9.8582,255.7335,Volcanic,,,,,,,,,,,,
-34050,34050,34050,6.1,0.5,9.8588,255.6782,Volcanic,,,,,,,,,,,,
-34050,34050,34050,13.09,0.52,9.867,255.718,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.38,0.55,9.5305,255.7498,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.66,0.55,9.8746,255.7032,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.42,0.57,9.5146,255.7558,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.07,0.57,9.8157,255.6996,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.48,0.57,9.8669,255.7127,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.34,0.59,9.8753,255.7383,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.6,0.62,9.4708,255.7629,Volcanic,,,,,,,,,,,,
-34050,34050,34050,7.37,0.62,9.7708,255.7225,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.45,0.62,9.831,255.7102,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.36,0.62,9.8494,255.7061,Volcanic,,,,,,,,,,,,
-34050,34050,34050,10.04,0.65,9.5562,255.751,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.33,0.64,9.8252,255.6948,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.02,0.67,9.5307,255.7671,Volcanic,,,,,,,,,,,,
-34050,34050,34050,8.67,0.72,9.2793,255.781,Volcanic,,,,,,,,,,,,
-34050,34050,34050,11.09,0.72,9.516,255.7488,Volcanic,,,,,,,,,,,,
-34050,34050,34050,9.82,0.72,9.5161,255.7487,Volcanic,,,,,,,,,,,,
